Name,RA,Dec,Dist. (ly)
? Cam,05h 03m 25.10s,"+60° 26' 32.2""",997
CS Cam,03h 29m 04.13s,"+59° 56' 25.2""",4289
? Cam,04h 54m 03.01s,"+66° 20' 33.6""",6936
BE Cam,03h 49m 31.29s,"+65° 31' 33.6""",964
7 Cam,04h 57m 17.22s,"+53° 45' 07.5""",376
CE Cam,03h 29m 54.75s,"+58° 52' 43.5""",2470
HD 49878,07h 00m 03.85s,"+76° 58' 38.8""",187
? Cam,03h 50m 21.48s,"+71° 19' 56.5""",335
BK Cam,03h 19m 59.26s,"+65° 39' 08.4""",801
HD 42818,06h 18m 50.78s,"+69° 19' 12.1""",176
HD 23089,03h 46m 02.33s,"+63° 20' 42.2""",799
VZ Cam,07h 31m 04.48s,"+82° 24' 41.6""",473
HD 24479,03h 57m 25.44s,"+63° 04' 20.1""",338
HD 24480,03h 57m 08.29s,"+61° 06' 32.1""",1852
HD 25291,04h 04m 27.16s,"+59° 09' 19.8""",1734
BD Cam,03h 42m 09.35s,"+63° 13' 00.3""",520
3 Cam,04h 39m 54.69s,"+53° 04' 46.5""",495
HD 33564,05h 22m 33.78s,"+79° 13' 50.7""",68
HD 21447,03h 30m 00.23s,"+55° 27' 06.6""",191
43 Cam,06h 53m 42.24s,"+68° 53' 17.9""",1000
CQ Cam,03h 24m 40.56s,"+64° 35' 09.6""",1249
42 Cam,06h 50m 57.09s,"+67° 34' 18.9""",867
HD 106112,12h 12m 11.91s,"+77° 36' 58.3""",110
HD 26764,04h 16m 43.11s,"+53° 36' 42.5""",353
31 Cam,05h 54m 57.83s,"+59° 53' 18.3""",405
11 Cam,05h 06m 08.46s,"+58° 58' 20.6""",671
16 Cam,05h 23m 27.83s,"+57° 32' 40.3""",340
HD 90089,10h 31m 05.02s,"+82° 33' 30.7""",70
HD 27022,04h 20m 40.36s,"+65° 08' 25.6""",333
4 Cam,04h 48m 00.22s,"+56° 45' 27.1""",162
37 Cam,06h 09m 58.99s,"+58° 56' 08.3""",349
2 Cam,04h 39m 58.03s,"+53° 28' 23.7""",277
36 Cam,06h 12m 51.05s,"+65° 43' 06.6""",642
40 Cam,06h 15m 40.51s,"+59° 59' 56.5""",498
HD 64307,08h 00m 11.76s,"+73° 55' 04.8""",700
? 1694 A,12h 49m 13.80s,"+83° 24' 46.3""",303
HD 64486,08h 04m 47.19s,"+79° 28' 47.1""",330
HD 23277,03h 49m 13.70s,"+70° 52' 16.3""",325
HD 27245,04h 21m 47.58s,"+60° 44' 09.2""",427
17 Cam,05h 30m 10.21s,"+63° 04' 02.0""",931
BN Cam,05h 12m 22.45s,"+73° 56' 48.3""",374
HD 46588,06h 46m 14.47s,"+79° 33' 58.6""",58
HD 30442,04h 52m 05.17s,"+63° 30' 20.3""",499
5 Cam,04h 55m 03.14s,"+55° 15' 32.9""",661
HD 89571,10h 29m 42.21s,"+84° 15' 07.6""",133
HD 68375,08h 19m 32.21s,"+75° 45' 24.7""",292
HD 37289,05h 42m 26.45s,"+65° 41' 51.7""",279
HD 58425,07h 30m 52.70s,"+68° 27' 56.6""",453
HD 34255,05h 20m 22.61s,"+62° 39' 13.4""",1976
HD 26670,04h 16m 53.55s,"+61° 51' 00.1""",409
HD 50885,07h 01m 21.40s,"+70° 48' 30.0""",457
HD 26755,04h 17m 08.07s,"+57° 51' 37.7""",263
HD 22764,03h 42m 42.73s,"+59° 58' 09.8""",2203
HD 117566,13h 26m 57.22s,"+78° 38' 37.7""",292
HD 31134,04h 56m 07.08s,"+52° 52' 11.0""",478
HD 45866,06h 40m 28.84s,"+77° 59' 44.9""",579
DL Cam,04h 32m 01.84s,"+53° 54' 39.0""",
HD 104985,12h 05m 14.74s,"+76° 54' 21.4""",333
HD 23005,03h 46m 00.82s,"+67° 12' 06.8""",181
HD 24141,03h 53m 43.19s,"+57° 58' 31.3""",170
HD 33541,05h 18m 13.25s,"+73° 16' 05.3""",359
HD 23523,03h 49m 36.62s,"+63° 17' 49.6""",231
HD 25274,04h 06m 03.17s,"+68° 40' 47.9""",623
HD 46509,06h 40m 32.24s,"+71° 44' 55.5""",663
HD 27322,04h 21m 51.82s,"+56° 30' 22.7""",310
HD 28780,04h 36m 24.23s,"+64° 15' 41.8""",443
? 1694 B,12h 49m 06.79s,"+83° 25' 04.1""",222
HD 120565,13h 42m 22.94s,"+82° 45' 09.0""",364
26 Cam,05h 46m 30.37s,"+56° 06' 56.6""",193
51 Cam,07h 46m 40.04s,"+65° 27' 20.3""",332
HD 28204,04h 33m 30.62s,"+72° 31' 43.8""",373
HD 29678,04h 48m 50.26s,"+75° 56' 29.6""",149
HD 21819,03h 33m 39.10s,"+54° 58' 29.5""",222
HD 32356,05h 06m 29.66s,"+61° 10' 11.8""",563
HD 105943,12h 11m 00.09s,"+81° 42' 35.4""",1101
53 Cam,08h 01m 42.49s,"+60° 19' 27.9""",321
HD 31662,05h 01m 36.02s,"+61° 04' 42.4""",120
HD 44472,06h 28m 14.49s,"+70° 32' 07.0""",553
HD 26076,04h 13m 44.81s,"+72° 07' 34.4""",365
HD 31312,05h 02m 19.79s,"+74° 16' 09.4""",628
24 Cam,05h 43m 01.66s,"+56° 34' 53.2""",200
HD 26553,04h 15m 01.80s,"+57° 27' 37.3""",1309
12 Cam,05h 06m 12.14s,"+59° 01' 17.1""",625
HD 26553,03h 47m 32.12s,"+55° 55' 19.4""",431
8 Cam,04h 59m 46.34s,"+53° 09' 19.7""",767
HD 65448,08h 02m 30.82s,"+63° 05' 25.2""",522
HD 31590,05h 04m 39.65s,"+74° 04' 01.2""",537
HD 99945,11h 31m 51.08s,"+81° 07' 37.8""",195
15 Cam,05h 19m 27.85s,"+58° 07' 02.7""",879
HD 21427,03h 30m 10.93s,"+59° 21' 57.8""",337
HD 25425,04h 06m 38.81s,"+65° 31' 15.1""",457
30 Cam,05h 52m 17.26s,"+58° 57' 50.9""",545
HD 33618,05h 15m 11.38s,"+59° 24' 20.6""",307
19 Cam,05h 37m 15.07s,"+64° 09' 17.5""",372
HD 72582,08h 39m 42.64s,"+73° 37' 47.7""",355
HD 33266,05h 13m 02.83s,"+61° 51' 00.1""",477
23 Cam,05h 44m 08.46s,"+61° 28' 35.5""",318
HD 27402,04h 22m 57.91s,"+59° 36' 58.6""",378
HD 38284,05h 49m 04.68s,"+62° 48' 29.5""",412
HD 36384,05h 39m 43.72s,"+75° 02' 37.7""",579
HD 31675,05h 02m 50.34s,"+66° 49' 25.6""",91
HD 31563,05h 04m 12.77s,"+73° 45' 50.2""",1331
FR Cam,12h 00m 18.84s,"+80° 51' 11.8""",819
HD 38645,05h 52m 55.49s,"+68° 28' 17.9""",415
HD 39429,05h 57m 34.95s,"+66° 05' 46.1""",427
HD 25948,04h 09m 22.16s,"+54° 49' 44.7""",155
HD 115337,13h 12m 25.46s,"+80° 28' 16.6""",686
HD 36496,05h 37m 16.05s,"+66° 41' 48.2""",259
HD 45947,06h 37m 55.24s,"+73° 41' 44.3""",116
HD 104904,12h 04m 28.53s,"+85° 35' 12.9""",249
HD 27855,04h 27m 00.86s,"+57° 35' 07.2""",755
HD 40055,06h 05m 09.32s,"+75° 35' 09.4""",720
HD 67934,08h 24m 33.11s,"+82° 25' 51.0""",679
KZ Cam,03h 38m 19.70s,"+56° 55' 58.1""",557
HD 25877,04h 09m 27.58s,"+59° 54' 29.1""",1072
HD 55075,07h 25m 21.97s,"+81° 15' 27.1""",832
HD 76990,09h 15m 21.24s,"+84° 10' 51.6""",294
HD 23662,03h 51m 41.75s,"+68° 30' 27.1""",821
HD 24164,03h 56m 30.33s,"+71° 49' 17.9""",196
HD 25602,04h 06m 36.58s,"+54° 00' 32.0""",319
HD 71973,08h 36m 48.78s,"+74° 43' 25.4""",273
HD 86321,10h 08m 34.40s,"+83° 55' 06.1""",883
HD 30144,04h 48m 06.94s,"+55° 36' 10.2""",166
HD 40827,06h 05m 08.23s,"+59° 23' 36.0""",471
HD 26101,04h 12m 51.88s,"+68° 30' 04.1""",387
HD 111112,12h 44m 25.90s,"+80° 37' 16.1""",462
HD 30085,04h 50m 36.39s,"+70° 56' 29.7""",647
HD 32781,05h 14m 35.54s,"+76° 28' 22.0""",421
HD 54070,07h 13m 57.99s,"+71° 48' 59.5""",396
47 Cam,07h 22m 17.19s,"+59° 54' 07.1""",229
HD 21794,03h 33m 41.23s,"+57° 52' 07.1""",234
HD 32715,05h 09m 44.53s,"+64° 55' 11.8""",129
HD 77246,09h 11m 12.73s,"+80° 49' 44.2""",252
HD 34200,05h 20m 40.69s,"+66° 44' 48.5""",384
HD 30752,04h 53m 09.80s,"+52° 50' 28.3""",523
HD 69054,08h 22m 09.50s,"+74° 49' 12.9""",466
HD 20104,03h 17m 31.54s,"+65° 39' 30.1""",596
HD 40956,06h 06m 39.20s,"+63° 27' 13.7""",414
HD 79517,09h 19m 55.78s,"+74° 01' 00.3""",370
HD 21903,03h 35m 01.04s,"+60° 02' 29.0""",183
HD 32518,05h 09m 36.62s,"+69° 38' 22.4""",383
18 Cam,05h 32m 33.68s,"+57° 13' 17.8""",143
HD 21769,03h 33m 32.19s,"+58° 45' 55.3""",763
HD 65299,08h 16m 53.96s,"+84° 03' 27.7""",568
HD 23594,03h 49m 19.73s,"+57° 07' 06.0""",531
HD 29329,04h 46m 00.39s,"+76° 36' 40.9""",105
HD 118686,13h 34m 42.81s,"+76° 32' 48.1""",1025
HD 57742,07h 27m 25.84s,"+66° 19' 53.66""",893
HD 34450,05h 24m 59.43s,"+73° 42' 25.9""",1254
39 Cam,06h 11m 13.63s,"+60° 27' 12.7""",1268
HD 21203,03h 28m 23.56s,"+60° 15' 20.6""",858
HD 25225,04h 07m 10.77s,"+74° 00' 01.29""",409
14 Cam,05h 13m 31.29s,"+62° 41' 28.1""",268
HD 38058,05h 47m 32.26s,"+63° 35' 55.85""",482
HD 52030,07h 05m 51.67s,"+70° 43' 54.93""",847
HD 40568,06h 03m 04.31s,"+57° 01' 06.3""",565
49 Cam,07h 46m 27.46s,"+62° 49' 50.4""",265
29 Cam,05h 50m 33.89s,"+56° 55' 08.2""",441
HD 44385,06h 33m 04.0s,"+78° 58' 46""",698
6 Cam,04h 56m 49.48s,"+55° 49' 26.8""",874
HD 24064,03h 56m 36.0s,"+74° 04' 48""",862
28 Cam,05h 46m 54.60s,"+56° 55' 26.4""",622
22 Cam,05h 39m 05.39s,"+56° 21' 37.3""",196
20 Cam,05h 37m 27.04758s,"+56° 29' 16.1335""","1,163"
HD 35759,05h 31m 33.0s,"+64° 16' 58""",236
HD 29021,04h 37m 52.2s,"+60° 40' 34""",100
Gliese 445,11h 47m 41.39s,"+78° 41' 28.2""",17.6
